Hourly_high,name,hour
137.9700012,BYND,5/14/2020 9:00
139.5599976,BYND,5/14/2020 10:00
141,BYND,5/14/2020 11:00
138.2400055,BYND,5/14/2020 12:00
137.7899017,BYND,5/14/2020 13:00
135.7301025,BYND,5/14/2020 14:00
135.8500061,BYND,5/14/2020 15:00
67.25,DDOG,5/14/2020 9:00
66.55000305,DDOG,5/14/2020 10:00
65,DDOG,5/14/2020 11:00
64.87999725,DDOG,5/14/2020 12:00
65,DDOG,5/14/2020 13:00
64.12999725,DDOG,5/14/2020 14:00
65.86990356,DDOG,5/14/2020 15:00
203.8677979,FB,5/14/2020 9:00
203.3500061,FB,5/14/2020 10:00
204.2700043,FB,5/14/2020 11:00
205.1000061,FB,5/14/2020 12:00
205.6399994,FB,5/14/2020 13:00
204.9850006,FB,5/14/2020 14:00
206.9299927,FB,5/14/2020 15:00
452,NFLX,5/14/2020 9:00
446.5100098,NFLX,5/14/2020 10:00
440.6400146,NFLX,5/14/2020 11:00
440.3399963,NFLX,5/14/2020 12:00
441.7799988,NFLX,5/14/2020 13:00
441.4400024,NFLX,5/14/2020 14:00
442.1400146,NFLX,5/14/2020 15:00
178,OKTA,5/14/2020 9:00
177.8067932,OKTA,5/14/2020 10:00
179.8899994,OKTA,5/14/2020 11:00
179.0050049,OKTA,5/14/2020 12:00
178.5,OKTA,5/14/2020 13:00
177.8099976,OKTA,5/14/2020 14:00
177.8500061,OKTA,5/14/2020 15:00
16.54000092,PINS,5/14/2020 9:00
16.67499924,PINS,5/14/2020 10:00
16.94499969,PINS,5/14/2020 11:00
17.04000092,PINS,5/14/2020 12:00
17.03000069,PINS,5/14/2020 13:00
16.90500069,PINS,5/14/2020 14:00
17.09000015,PINS,5/14/2020 15:00
758.0900269,SHOP,5/14/2020 9:00
752,SHOP,5/14/2020 10:00
757.4699707,SHOP,5/14/2020 11:00
754.1599731,SHOP,5/14/2020 12:00
755.8200073,SHOP,5/14/2020 13:00
751.7999878,SHOP,5/14/2020 14:00
755.5700073,SHOP,5/14/2020 15:00
16.72999954,SNAP,5/14/2020 9:00
16.93000031,SNAP,5/14/2020 10:00
17.14999962,SNAP,5/14/2020 11:00
16.98999977,SNAP,5/14/2020 12:00
17,SNAP,5/14/2020 13:00
16.92000008,SNAP,5/14/2020 14:00
16.96999931,SNAP,5/14/2020 15:00
72.80999756,SQ,5/14/2020 9:00
75.58999634,SQ,5/14/2020 10:00
76.48999786,SQ,5/14/2020 11:00
76.75,SQ,5/14/2020 12:00
77.18000031,SQ,5/14/2020 13:00
77.26000214,SQ,5/14/2020 14:00
78.25,SQ,5/14/2020 15:00
289.4498901,TTD,5/14/2020 9:00
290.0700073,TTD,5/14/2020 10:00
296.8562927,TTD,5/14/2020 11:00
294.5,TTD,5/14/2020 12:00
296,TTD,5/14/2020 13:00
295.769989,TTD,5/14/2020 14:00
297.6700134,TTD,5/14/2020 15:00
